,textID,text,selected_text,sentiment
14928,c797e813a3, It is sad... I feel bad when I hear it. They look like mid 30's. It's like something u wld see on lifetime,feel bad,negative
14931,e6850425bc, i cantttt.  my grandparents are here.,i cantttt.,negative
14932,f0dd6aa1cd, lost luggage? Sorry to hear.  you should check out our selection of travel luggage here: http://budurl.com/9mua,Sorry,negative
14935,ebc56300cb, well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,Bleh,negative
14939,a435e058ae, srry can't go paintballing tonight  and there are no good movies out,e no good,negative
14940,7afb99c43f,"I swear, now my dog is having anxiety issues.","I swear, now my dog is having anxiety issues.",negative
14942,d0f94d66ab,does not like ups much today...,does not like,negative
14943,2fa4d0b1b2,"i wanna do something tonight, but that doesnt look very promising",that doesnt look very promising,negative
14946,907cf43ebc,at work with a HUGE headache,HUGE headache,negative
14947,196ecaa275," how tough was that, just wanted to hug her like my own",tough,negative
14952,65d437c47d,At home sick.. On a friday...studying is all im doing at this point.. My weekend is so ruined,sick..,negative
14956,a50c8dc573, o its feels like a hot box and no matter where i go in here it still feels like a hot box! ice cream isn't working n e more,s like a hot box an,negative
14957,a766a8719c,i think they are working why eyes are drooping  its so weird being under drugs i dont like it ... cant wait for tomorrow though,s so weird being under drugs i dont like it ..,negative
14960,f6935311d2, aww noooo that doesn't sound too great,that doesn't sound too great,negative
14961,1186ca4490,I heard an icecream truck and took of like a shot but I couldn't catch it.,I couldn't catch it.,negative
14966,d95d87d5bf,_Molotov Go much bamboo? Would you like to attempt to structure a sentence that makes sense? Why did i fail english and others pass?,Why did i fail english,negative
14967,3d08334de3,Im so tired. And its so gloomy  what happeened ro summer?,so tired.,negative
14970,0c6ea9affd,mad traffic,mad traffic,negative
14973,18755ce9ae,@_handz_ well you know those &quot;kind of guys&quot; are just idiots,are jus,negative
14976,b64644097d,wants to go the the vintage paper show but no one will accompany her,no one will accompany her,negative
14990,82f88a3667,Trying to recover photos after a problem between Windows and my XD card. Result: shots are all half visible  **** Microsoft...,Trying to recover photos after a problem between Windows and my XD card. Result: shots are all half visible  **** Microsoft...,negative
14991,0e2f13043e,reaaaallly bored,reaaaallly bored,negative
14992,24fa941c24, I would but you're too far away,too far away,negative
14995,f16837f474,i wish i was in cali wit mari nd lupita seeing vfc  not fair,not fair,negative
15002,b0c6c3c7f2,plus it hurts seeing sum1 you love falling for someone else!  not even kidding im wellllllllllllll gutted. **** ****,im wellllllllllllll gutted.,negative
15006,f11255a035,is sad his new SB6 CD's got nicked,sad,negative
15015,5dcaf3b671, Not yet... sorry,sorry,negative
15018,12f2262ade," me too.  I was in Florida last weekend for the rain.  Came back home to RI, rain.  Terrible",n.  Terrib,negative
15025,599912ea69,Trader Joe's &quot;sushi&quot; is a fail.,uot;s,negative
15033,e2e3bbf3aa,@_erica /hugs those are the worst. Mine used to be really bad on the first day..sometimes can't even get out of bed.,those are the worst. Mine used to be really bad on the first day..sometimes can't even get out of bed.,negative
15034,d070c640de," Aww, I had one yesterday, they suck",suck,negative
15040,26167f5456,"its friday!  well, technically anyway...but its really thursday for me.  dang having to work saturday mornings",dang having to work saturday mornings,negative
15050,feee42ae31,Why are we busy ugh I have the largest headache,headache,negative
15055,074baaa99f,Been working so hard - its a drag not having time to tweet.!,not having time to tweet.!,negative
15058,b5e4ae34b8,omg trying to fix pic but its not working!!!! ugh also mom wont let me sleep over sanzz!!!!!  bad day!!!!,omg trying to fix pic but its not working!!!! ugh also mom wont let me sleep over sanzz!!!!!  bad day!!!!,negative
15062,54acae24bc,No one wants to sit with me at lunch  I guess I'll just bury my head in my laptop and continue to be anti-social.,No one wants to sit with me,negative
15066,a8fe1ed704,_Man im fully obsessed with their burritos enchilado style. My mom doesnt wanna go with me tho,My mom doesnt wanna go,negative
15067,c2112e0f01, i am so jealous!!,jealous!,negative
15072,5156e1f9c9, I agree with _Crazy it's not worth it - block them &amp; let Twitter police know about harrassment.,bout harrassm,negative
15073,4df6ba1655,I'm at mcdonalds eating chicken nuggets with my kid so embarrased I droped my soda  haha it fell out of my tray lol,so embarrased,negative
15082,f2eb7e0354,_whitex gratz on your tix. sux u will be poor tho  I am trying to get pj harvey tix too but debating my $$s too,sux u will be poor tho,negative
15084,4a0146e1e6," I'm guessing the belt thing is a no-go since I didn't hear back..Sorry  Stop by this weekend, we'll talk bout the ring, etc.",belt thing is a no-go since I didn't hear back.,negative
15086,1e1f73642d,"Rope witdrawal in full effect, no one to tie, no teaching, no demos, no one to play with. But worst of all - No one to play with!","Rope witdrawal in full effect, no one to tie, no teaching, no demos, no one to play with. But worst of all - No one to play with!",negative
15087,22c9ad1943, yeah I can imagine!  Not nice   How much longer is your shift?,Not nice,negative
15098,efad30ddc7, There's loads of highly qualified stuff  and loads STILL using snail mail.,d loads STILL using snail mail.,negative
15100,d9059d72a3,"layenn down,uughh dunt feel well","layenn down,uughh dunt feel well",negative
15106,748b7f7654,Bored...um...Song of the day: &quot;I caught myself by Paramore&quot; and &quot;No good deed from the musical Wicked&quot;  Oh! And Fully Alive by Flyleaf!!!,Bored...,negative
15107,cc9bfeb768,is hating the weather. UGH.,is hating the weather. UGH.,negative
15114,001e034570,SO BORED.,SO BORED.,negative
15115,4fe8d469b8,im slowly losing followers one by one.,losing followers,negative
15116,6b489e8749,just got Up and going to get ready to go to meadowhall ;) can't believe my internet broke yesterday  GUTTED,broke,negative
15121,e9f4bb31d6, no...i'm just tired..,..i'm just tired..,negative
15122,97afa4ae07,madd bored,bored,negative
15127,327a15d669,head hurt,head hurt,negative
15130,dc7f2b6061,"Much to my surprise, I was using my credit card before the crack dawn to do some serious online gambling. One problem: it wasn't me.",One problem: it wasn't me.,negative
15132,b0cce5a6b8,"Would like to remind people that I am OUT of Kansai Scene, and whatever the current issue is like, I have had nothing to do with it","Would like to remind people that I am OUT of Kansai Scene, and whatever the current issue is like, I have had nothing to do with it",negative
15137,68cbeb3bc0,Tired beyond reason. I would rather be just about anything else other then tired,Tired,negative
15138,0293e55c94,"Sadly, the time has come to put my mom in a home","Sadly, the time has come to put my mom in a home",negative
15143,666d9b85ae, Same! And big moths and wasps and just insects in general HAHA I hate them,hate,negative
15146,a3735923ea,"I'm so sick, it's ridiculous.","I'm so sick, it's ridiculous.",negative
15147,d133feef6c,Working.  I can't wait till 4:30. Funeral on monday.,Funeral,negative
15151,4eb3f15dd4, yummmm make sure u leave some 4 me im home cleaning up working mad hard,working mad hard,negative
15157,79077139d8, Ohhhhh how I miss the Brunch,Ohhhhh how I miss the Brunch,negative
15160,f8de71cce2,"iï¿½m boring - bad weather today, watchingn alias and having fun  with my boyfriend",bad,negative
15164,49b741fc13, I would think the pres would be afraid you'd Pun'k him,e afraid,negative
15165,2de0d81220,**** traffic. Going to be late!,****,negative
15172,df0d78273e, Never ever smoking around you again.,Never ever,negative
15176,6ca23f90ff, Thats actually not that fun as you would think... I was hurting for a week after a similar experience.,Thats actually not that fun as you would think.,negative
15179,198194e6c7,"why i still lose followers?  the people hates me, THE WORLD hates me or maybe ... Read More: http://is.gd/Jg3I",hates,negative
15183,5d1f958304,We bought a pool instead of going to California. Now the pool is broken and we have wasted our vacation money for the next 2-3 years.,we have wasted our vacation money,negative
15188,0e75c78838,has a headaaaaaaaaaaaache,headaaaaaaaaaaaache,negative
15192,7270ae8bb3,watching two of my patients die tonight has put me in a funk. one was young.,has put me in a funk.,negative
15196,b8e071a7f2, the there's confuse me,the there's confuse me,negative
15197,b1c2a024ec,this sux but took like 4 minutes. going to sleep finally  http://img36.imageshack.us/img36/4603/iprevailedsig.png,this sux bu,negative
15198,c2bdf76265,just got back from my exam... im surely gonna fail...now trying 2 get tickets 4 il divo! someone doesnt want us 2b there!!!,fail..,negative
15214,fa0365ff09,"**** it...Margie said she couldn't share the info on who killed Evil Eddy with me   She wanted my info again, gave it to her",**** it...,negative
15216,7c075aa251,i hate i hate i hate i hate i hate i hate mother's day.,i hate i hate i hate i hate i hate i hate mother's day.,negative
15219,4e3a9d1c15,My ipod has taken it's last breath... Im truly devastated. I have lost my public transportation companion,truly devastated.,negative
15222,4beea8dd5a,Q: what studio created 'Open Season'? should google it or look at the dvd downstairs but feeling lazy,lazy,negative
15225,22923fc15d,Doing dishes...i miss my kitchen team,miss,negative
15236,415a0ef0d5,"someone please tighten some bolts in my brain  :s  there are too many parts loose, some might even be missing",someone please tighten some bolts in my brain,negative
15240,3bfc997081, ugggh idk how to do that  but i only wanna stop getting texts from twitterr  -ilsE*,a stop,negative
15241,646c6efbdd, I missed you guys this morning. I'm in Tacoma w/ no KGW to start my day.,I missed you guys this morning.,negative
15245,4d5a8b6e13,TGIF... Hubby dragged me out to buy car parts. I am tired n cranky,tired,negative
15253,3b5692f59c,"My back is all kinds of messed up, and Strudel is going to live in another town until we move, I'm going to miss the little runt",miss,negative
15255,069dd440e4,i feel sick after that oreo and cheesecake milkskake  lol,i feel sick after that oreo and cheesecake milkskake  lol,negative
15256,93c8ab2b73," so sorry to hear that.  I lost two hard drives this year, I know the feeling",sorry,negative
15261,8c45a9fb79,My dad just told me that he wants to put me up for sale on craigslist,My dad just told me that he wants to put me up for sale on craigslist,negative
15262,ded3f20d74, dude i am so sorry!!!!! I never got that number for you my fail  i just remembered,dude i am so sorry!,negative
15263,5c39fade50,Feeling down again. Today is way too stressful.,Today is way too stressful.,negative
15267,8c69f84086,Been working lots of overtime this week. Only just realized I booked a half day tomorrow so this week will just break even,Been working lots of overtime this week. Only just realized I booked a half day tomorrow so this week will just break even,negative
15276,85c1dbf1a5,Just had my hair cut it looks like ****,looks like ****,negative
15278,194273e5d5,I hurt my foot in gym class.,I hurt my foot in gym class.,negative
15281,f358968122,"I have to go clothes shopping tomorrow  I hate it, but I have a serious &quot;clothes falling apart&quot; situation here.","I hate it, but I have a serious &quot;clothes falling apart&quot; situa",negative
15285,40d8340387," I gotta say, I feel bad for everyone in NKorea.  They're starving, and they have a crazy in charge who endangers them daily.",", I feel bad for everyone in NKorea.",negative
15288,74ef7b793d,cleaning and packing. Moving house is ****. It's going to be a long weekend....,is ****.,negative
15299,2d93f4c285,im so stressed out.  will anything get any better *sigh*,stressed,negative
15301,1e17b77d6e,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,broken,negative
15303,952c19e1f8, wassup m8 ... bad day not good,. bad day not good,negative
15305,b506b2cc77,  i thought you liked the name,i thought you liked the name,negative
15306,a8a619b1c9, poor thing. come watch tv at my house  lol,poor,negative
15308,4b518e17a8, thats a bad start to the day!,thats a bad start to the day!,negative
15315,465a0bc799,"_bop and that marisa mauro can go use a banana as a ****. srsly, some people are such arseholes",such arseholes,negative
15316,a5e5a0a304,Sephora is having a 75% off sale. And I'm so broke  Life isn't fair.,I'm so broke  Life isn't fair.,negative
15317,8a2a4790e0,Work in that heat is horrible !,Work in that heat is horrible !,negative
15321,061eb4c0de, I am lost. Please help me find a good home.,I am lost.,negative
15325,b584334ec7,"Omg at Hollie! That was well sad to watch!  See, Simon can be well nice when he wants to be! lol",sad,negative
15328,698223075a,doesnt understand twitter,doesnt understand twitter,negative
15332,e45d640ba0,is sooo stressed about everything I have to do,is sooo stressed about everything I have to do,negative
15334,dbba006190,"#freeagentapp free trial ran out today, cannot subscribe because Abby accidentally canceled my card - still waiting for a new one",cannot subscribe,negative
15336,21f2dc2754,"I hate life at the mo, it sucks",hate,negative
15337,9843ecd416,"Aw, not going to Toronto anymore.",not going,negative
15339,ab174bf51d,odd i tried to call mitchel musso but it dosent work....,odd i tried to call mitchel musso but it dosent work....,negative
15345,ac76d54cd6," hmm, okayy, im really sorry to hear about it  why do you thikn she would have done that? :S",really sorry,negative
15346,365a3274bd, they won't  guys are retarded!,guys are retarded!,negative
15347,d87b8e1979,everything is going wrong in my &quot; happy day&quot;,wrong,negative
15351,7e05e68092,Ok this is a lot more boring then I thought  and matt has me on lockdown bc of moolah...,Ok this is a lot more boring,negative
15361,c6d1e5710a,Lunch sucked ran out of time  didn't get anything done,Lunch sucked ran out of time  didn't get anything done,negative
15366,1331fbf4a7,http://twitpic.com/54khn - I am very sad. They cut down my Pink Tree. I noticed it when I left today to get Betos,sad.,negative
15370,6b33f809af,"Oh, I forgot. They weighed me at the Dr. I am at my highest weight ever.","Oh, I forgot. They weighed me at the Dr. I am at my highest weight ever.",negative
15375,7007eaf319,  that's bad as it affects all the languages that run on the JVM. Too bad!,. Too bad!,negative
15376,dee44438e4,"Umm after schooL , at subway w. My mom ; nothing to do planss are ruined",ruined,negative
15380,1264f061fe,"I hate exam time. I want my life back  Also I want the ability to revise back - if I ever had that ability, that is.",I hate exam time.,negative
15399,bdf1649a54,CRYING CUZ PEOPLE WONT FOLLOW ME!!!!!!!,CRYING,negative
15400,b29c3ad87f,Poltergeist! In my house,Poltergeist!,negative
15401,d580d203f3,i have no swine flu! because of the temperature screening here i feel like a criminal with my cold.,like a criminal with my cold.,negative
15402,f336c52798,"Joining facebeek.  What a loser, I have no friends   Amy where are you?","loser,",negative
15407,263aec00e3,bored out of my mind,bored out of my mind,negative
15409,9f563ffb8e,i am having serious problems concentrating on this press release this afternoon...i have sleepy eyes right now,serious problems,negative
15413,086eb216aa," nah, he was acting like a **** - his show sucked last night",sucked,negative
15414,181de1d263,"Laughing for no reason...maybe its because its 2:27 and I'm tired, haha. Maybe i should go to bed  Night!","I'm tired,",negative
15419,e28b4c4fb7, my three most hated words are &quot;see you monday&quot;,my three most hated words are &quot;see you mon,negative
15420,da911aaecd,sleeping in was interupted by JACK-HAMMERS at 9am ****! Universe says GET UP! But I was up intil 3am 'cause I thougth I'd be sleeping in,interupted,negative
15422,22f0294ce9,shouts out to  and ,shouts out,negative
15424,d3e172c552,Ok the thunder is scaring me,thunder is scaring me,negative
15425,bc361e245e, Aw...poor thing.,..poor thing.,negative
15427,7926ebc33b, she is that's why she never speaks to me in college i think  .....i might just stick to unzela...if hashim dosnt shoot me,e never speaks to me,negative
15428,ab9a6b19b0,Such a busy day today!! Banbury Fair fashion show tonight and move into my apartment tomorrow! i have no started packing yet,busy,negative
15434,03296ed395,"Was a little slow to try this one, but Ben &amp; Jerry's Mission to Marzipan is a bit of a letdown.",pan is a bit of a letdo,negative
15439,cd4b8d7a92," bummer, bro, sorry to hear that",sorry to hear that,negative
15440,78a714e8bb,Don't know what the heck to do with the space of time between now and BGT    Bored.,Bore,negative
15441,0a2c769873,Greg Pritchard was robbed  ii am too gutted for words,robbed,negative
15442,82d1532224,TwitterBerry hates me,hates me,negative
15446,856e0ae5aa, britains got talent is rather disappointing this year,r disappointing this year,negative
15448,76390ef87f, i miss your dance friends too.,i miss your dance friends too.,negative
15462,3c8e8d1940,my son got stung by a bug for the first time  his little finger is slightly swollen.,swollen.,negative
15463,6bef62794c,It's tough being a thick chik,tough,negative
15471,b8c9ac356f,how do i get my cat 2stop killin rabbits? another headless (baby) rabbit n garden dis morn  live close 2field wher lots rabbits live,how do i get my cat 2stop killin ra,negative
15472,ff6890afa3,traveling to L.a today to see grandpa in hospital..Yet another road block to cross fro my family,Yet another road block to cross fro my family,negative
15473,3e461bbf9c,Took a short nap now Im ready for work. My sun burn hurts,hurts,negative
15477,8047178f92," don't i know it! i live in the middle of nowhere, my house is spider central",don't i know it!,negative
15479,1ded141930,Lula is not feeling well.  http://tinyurl.com/m8kcsq,not feeling well.,negative
15484,72d2f465a3,  ugh headache   i just wanna go home,h headache,negative
15487,f8ac27720d,"  I think it's because I'm always offtopic and sometimes inappropriate (germination and &quot;fruit picking&quot; jokes, etc)",m always offtopic and sometimes inappropriate,negative
15491,2f955c2829,I am probably spamming my follower's account.,spamming,negative
15494,40b38aa1bf,Rainy day today.  No car so we're stuck in the house   I needed to go to the post office too...bastards,...bastard,negative
15496,bac11ddc14,  i know. it sucks,. it sucks,negative
15500,0b8ab05c38,i think the vog is making me sicker than i think. feeling slightly achy,sicker,negative
15501,8a053811f7,:kwanghock    it is the Hao Da Za Ji Pa?? I miss the food there so much??,I mis,negative
15505,93258e4642,Going to the Chiro to see what is wrong with my bum ankle.,what is wrong with my bum ankle.,negative
15510,03f8b22ee7,"Oh ffs :@ a don't get paid till monday :@:@:@ :$. Sorry william, gonna have to wait till next weekend till I give you ï¿½  :@","Sorry william, gonna have to wait till next weekend ti",negative
15511,906b7e0381,is SO frustrated!!! I'm stuck at home without any transportation to the global god conference!!! Ahh,SO frustrated!!,negative
15512,b924039252,my sister is a douchebag,douchebag,negative
15513,2ae6e00578,Going off BC is making me break out.,break out.,negative
15515,092f20d1b1,Experiencing pain with paginating ASP.NET ListView controls,pain,negative
15516,b4fe0514aa," Other than that, you are totally bereft of faults in every way",faults,negative
15522,3c535f02b9,_normal Shucks!  Sorry!  Sometimes I get wrapped up in FB and forget to check  how you doin'?,Sorry!,negative
15527,b96d1a0e0d,Work till 6..then dreadful tv shopping cause mine broke,dreadful,negative
15529,d272de9049,@_Esme_Cullen_  I'm taking a million songs from your blip.fm station thing. Sorry,I'm taking a million songs from your blip.fm station thing. Sorry,negative
15534,08e6fe663e, Is a **** but she'll never know I said it cuz she doesn't love her twitter,she doesn't love,negative
15548,a36f2a5b64,i don't like being sick when the guidance counsellor is supposed to take me + 35 other kids out of school for bowling &amp; pizza,i don't like being sick,negative
15554,7603581410,"Last night, bad guys tried to enter in my garden . I was alone and I really got scared. Now, i feel really stupid. NOT FUNNY",scared.,negative
15555,4d576567c0,"Just eaten, and feel extremely bloated...  now for the not so fun part.","Just eaten, and feel extremely bloated...  now for the not so fun part.",negative
15557,fd7550eea1,Not excited of blowing out another candle today... [as when I was a kid!],Not excited,negative
15560,134cac246b,"Shouldn't sit weirdly at the pc, I know Im going to hit the deck once I get up","Shouldn't sit weirdly at the pc, I know Im going to hit the deck once I get up",negative
15563,350c36af4e,"My heads spinning from math, started to dream in formulas. NOT good.",NOT good.,negative
15565,4728bee54a,#bgt It's a shame that the Dreambears won't get through,It's a shame,negative
15566,eeca998f37,"I got a text from this guy who I don't like, and who has the same name as the guy I do! How disapointing!",disapointing!,negative
15569,5f2d7cb8d9, that sigh doesn't sound happy.,that sigh doesn't sound happy.,negative
15570,4892828dd2,_ oh god i just watched it to!! did claire escape? AGAIN!!! it was really quite sad,it was really quite sad,negative
15571,d3d138e116,"Oh please! I wanted to complete an unfinished tweet, and 5 tweets cropped up in between!  and now my tweet looks dorky.",dorky.,negative
15573,6175d57cf0,"   plus, it is going to clash with ugly betty when channel 4 shows season 3 next month as well. grrr  !",is going to cla,negative
15574,d37f67c339,is sad she got her plans cancled,sad,negative
15575,eeb70d82b3,i'm so tired  of being sick ALL the time!!!!,i'm so tired,negative
15576,992f2b16fb,"I'm really getting sick ugh **** nursing homes! Laying in bed, might go run later, watch some more movies with Austin. Sara &amp; Sami left",I'm really getting sick ugh,negative
15578,8cd15600d6,"I wonder if she knows how shallow, airy &amp; dumb her tweets make her sound. I guess not b/c if she did...she'd probably stop","I wonder if she knows how shallow, airy &amp; dumb her tweets make her soun",negative
15580,6b27e4e1a6,Being attacked with cola..... all sticky,sticky,negative
15582,f2fbf39ab5," Unfortunately, yes...not outside!","Unfortunately,",negative
15584,2e3ed4ea30,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!,tired,negative
15587,0cf61b6c7a,  EEW  Cheese. I hate cheese.,I hat,negative
15599,e5b86c0cac,"made it into leadership, buttt i'm still not happy! how can i enjoy it without my best friend?",not happy!,negative
15600,009a952227,The jetway feels like the seventh layer of hell. Oh and there are way too many babies on this flight. And I forgot my Bose.,forgot,negative
15604,14d8f19c12,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer,goddam?!,negative
15605,b01214538a,#myweawkness chocolate...i can't say no,#myweawkness chocolate..,negative
15606,032e086e88,Alcohol makes me tired. And I miss and want him so much. It hurts,hurts,negative
15608,639dada300, girl i am buying &amp; posting your pressie tomorrow but i have no **** clue what to get you so i'm sorry if you hate it,t you so i'm sorry if you hate,negative
15611,6c994185ed, aww sorry to hear you are having a bad time. Remember: this too shall pass,aww sorry to hear you are having a bad time. Remember: this too shall pass,negative
15612,788a810397," i know right, that's so weak  but the g1 seems most like the sk i think. latonya is lamesauce, just call her that from now on",weak,negative
15615,1920720fdf, you are just wrong!!! Now you've come to brag with a full belly??? Smh ...,you are just wrong!,negative
15618,5dfdc4cbce,trying to understand why WHY i joined twitter.....everyone else was doing it i felt left out,i felt left out,negative
15620,871697a694,"Sad that Gmail chat has died, so I can't help ","Sad that Gmail chat has died, so I can't help",negative
15624,b5d5c6caef,_G  ur a poopy head,ur a poopy head,negative
15625,20093be522," *huggles* I don't see all the replies right away, and my boss is hovering today. And I'm feeling pissy about life","*huggles* I don't see all the replies right away, and my boss is hovering today. And I'm feeling pissy about life",negative
15627,2c2360468d,Migranes suck....Especially when the kids are suddenly hyper.,suck..,negative
15632,c4137ffd37,I made this huge revelation as I was doing the dishes( that everyone left for me) and now I totally forgot it. I hate when that happens.,hate,negative
15633,68e2d1008a," Not a fan of the layout change of hyperlinks. I don't like the indentation and, well, I'm clicking and no link shows.",. I don't like the indentation,negative
15634,c251de9d23,urban think fail. chai latte is not good there,chai latte is not good,negative
15638,8e2805b232," I'm feeling much less alone now in my love for Fitzcarraldo, most people I mention it to have no idea what I am talking about.",alone,negative
15639,fc2b050f0f,Damnit. I have run out of candy coated books.,Damnit.,negative
15641,d6b4aa81ee," from your fevered imagination, my son","r fevered imagination,",negative
15642,62279dc367," did you decide it is a sprain? mine has been bothering me again, but never had it checked out","mine has been bothering me again,",negative
15649,e41ae07da9,Twitter is useful in that it reminds people what they forgot to ask me about on a given day. It is also excellent for inspiration,Twitter is useful in that it reminds people what they forgot to ask me about on a given day. It is also excellent for inspiration,negative
15650,e08f8b684d, rubbish!,rubbish!,negative
15655,53ef446838,"Oops, forgot we are having a barbecue at work today! I didn't need to pack a lunch after all","Oops,",negative
15661,8fe010252d,"Back in lancaster bored already, can't wait to start work! Missing hel!","Back in lancaster bored already, can't wait to start work! Missing hel!",negative
15662,573f73867d,I miss the old healthy me and I am loosing faith that I ever will be again,miss,negative
15663,566b75ccf1,  I am not a ****! damnit!  [sending you an e-mail right now btw],I am not a ****! damnit!,negative
15666,6cf7b5f739," Miley, I tried voting for you, and it wont let me vote for some reason  Ill try back a little later! &lt;3",it wont let me vote for some reason,negative
15667,b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,hurts,negative
15671,6d81b98e07,my apartment is emptying out more &amp; more each day.. so sad.. last week at 2000,so,negative
15673,98fe7210fa,"ouch, my back. I'm sick of having a pamela anderson esque chest","ouch, my back. I'm sick",negative
15674,5c34febe4e," Sheesh. No crochet? BAH and humbug. And sleep? Um, I suppose I will someday",d humbug.,negative
15681,562ff532c7,Okay I lied! I meant this time next week! That is sooo much longer!!  I miss my mommy...,lied!,negative
15682,3889809fc3," sorry about Mr Grey, Menlo",sorry about,negative
15684,60c947090b,HOMEWORK  BORRIING,HOMEWORK  BORRIING,negative
15685,0dc469bbc8,i hate being sick. i miss   and ,i hate being sick.,negative
15692,313fc09dd5," Oops..too late.  Already popped in Bridges, since I missed most of it on tv.   (I &lt;3 Blair &amp; Jo too!)",I missed,negative
15694,923295751d,"I think my bicycle and I just freaked out a custodian, who wouldn't have let me in the building if I didn't let myself in with a key",freaked,negative
15701,628c7ef2bc,I WISH I LITERALLY COULD **** JUST ABOUT EVERY **** IN THE WORLD...IMA NYMPH,****,negative
15703,5060d948d7,Im a bad blogger!! I have not blogged in weeks~ oops!,bad bl,negative
15704,edad720595, oh phew you scared me. I wont have ANY access when im in mexico,scared,negative
15706,4631068d01,Why do none of my thoughts make sense when I'm sober?,Why do none of my thoughts make sense when I'm sober?,negative
15713,ec543e2e3e,"so im drawing pictures to show how much i miss him. can anyone blame me, hes 4 hours away frm me",im drawing pictures to show how much i miss him.,negative
15714,617c2271c2,were playing at 7 @ club impact tomorrow! finally got shirts! woopity doo! i want a slurpeeee sooo bad right now,bad,negative
15715,3b17765aeb," and if you want to leaveeeee I can guranteee, you won't find nobody, else like meeee","you won't find nobody,",negative
15716,00bc56b36d," I know, twitter is depressing me tonight",depressing,negative
15719,fbb62d0fd8,_leigh u know wut devy dev it sure does suck havin no ID!! My weekends r gone miserable for 3 weeks so drink 4 me plz!!,miserable fo,negative
15722,ae8fd767fc,I'm sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!,ugh! These **** tonsils.,negative
15726,e77520a517,have a biiig headache.,headache.,negative
15728,74552afd3c,im really tired.. not much time to sleep,tired..,negative
15731,ad443fa341," Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards","Its so addicting, but its kind of a curse to do them at night time.",negative
15732,9e7b2503b9,Only one more day of Jay Leno  que sad!,sad!,negative
15735,185a9be434," i'm relying on my mobile, which lacks reception. Trying to help, but just looking silly","i'm relying on my mobile, which lacks reception. Trying to help, but just looking silly",negative
15740,c8a6bb2681, it's kind of hard to see a pic of a doggie if the pic doesn't exist,it's kind of hard,negative
15742,b1959e87e0,Feelin really awful. Having mono sux so much. Omg...listening to music,Feelin really awful.,negative
15743,522617513c,"Not going to graduation, hubby-to-be not feeling well  so instead, doing more job hunting online!",not feeling well,negative
15744,12b846508c, i knowwww.. i cant deal. this 9-5 life is not for me,i cant deal.,negative
15747,145fb4af34,_Bloody_Poet  Bad friends! Sorry to hear that.,! Sorry to hear that.,negative
15748,48ba01d8cb,"  Still dealing with quite a bit of pain, will jump off here soon to lay down,very frustrating  Thanks 4 asking",f pain,negative
15753,a86b168357,"Just got in a bit of a car accident, poor Patrick","Just got in a bit of a car accident, poor Patrick",negative
15757,eea9b197b8,at home and sore knee,sore knee,negative
15761,f501022778, What do you mean by your portfolio is sad?  No luck here.  I've applied about 30 places so far.,?  No luck,negative
15763,35a2e01940,school and the guy i like was talking to the girl i cant stand at all!!  ppl are just sooo...ughhhh!!,.ughhhh!,negative
15765,943b44d2f1," Pleased to hear it, but still I am shamed sometimes to hear what some men do",shamed,negative
15771,f4aeb65e97,OMG - the M&amp;Ms in my pantry are calling my name. I've been ignoring them all day. It is driving me completely insane. Too many calories,ay. It is driving me completely insa,negative
15775,f9f01177e8,upset.. friday night crying!,crying!,negative
15776,670bf744cd,What a bad day,What a bad day,negative
15777,4c3ff92525, I **** miss that band so so much,miss,negative
15778,4cd3252edd," ahhhh.same here with Geometry, like i said b4, if i didn't have it, i would be graduated!! so i feel ur pain hun!",pain,negative
15779,56a82e0dea,Heading home. Could really have done without banging my head on the way into the bus,banging,negative
15780,ce69e99e71,I'm not sleeping at all until  accepts my appology,I'm not sleeping at all un,negative
15782,0ef3b64fbd, I am afraid you've had a bit of a #fail as the last two recommendations aren't available in the UK,afraid,negative
15792,cc686b30a8,sometimes i forget my favorite **** stars are real people too.  made orange chicken last night and cut his finger off! sad!,sad!,negative
15794,bdade388fc,"not enjoying this cold, raininy Boston day.  I think my new metal back doesn't like getting wet. ;-)",not enjoying,negative
15795,1d1e147bed, OH FACK U GAVE ME POLICE THATS SOME SERIOUSE ****,****,negative
15796,bf6c374047,Wearing glasses gives me a headache.,headache.,negative
15797,a015a43be1,Okay so I'm trying to be happy and deal with my problems and my friends' also. Its hard,Its hard,negative
15806,1e5ebb14c9,LA unified summer schools drastically cut due to CA budget  cuts. Very sad,. Very sad,negative
15809,5f9b6eb560," man those people are hard to reach, I've been stalking H.R.",hard,negative
15811,6417d4f073, don't make me smite you! and yeah  yeah it really does. No cuties for me,. No cuties for me,negative
15815,551351725d,_beckwith it cant be that good if your twittering instead of watching it  ****,it cant be that good,negative
15817,41d2178a72,"Went for run, my sinuses are pissing me off",pissing,negative
15820,85b9463123,Having a boo-hoo day. Things just suck today,suck,negative
